,Original Word (Input), Modernized Word (Ground Truth),Naive Baseline,Model Prediction
85,su,su,su,su
86,quentas,den,cuentas,den
87,pero,pero,pero,pero
88,de,de,de,de
89,carmen,carmen,carmen,carmen
90,toda,toda,toda,toda
91,parece,parece,parece,parece
92,açe,hace,hace,hace
93,relijioso,santo,religioso,santo
94,y,y,y,y
95,l,la,la,la
96,el,el,el,el
97,escrivir,escribir,escribir,escribir
98,po,pedro,pedro,pedro
99,syno,sino,sino,sino
100,de,de,de,de
101,de,de,de,de
102,alteran,alteran,अ,alteran
103,el,el,el,el
104,ynglesses,ingleses,अ,ingleses
105,corpus,corpus,corpus,corpus
106,hacerlo,hacerlo,hacerlo,hacerlo
107,como,como,como,como
108,que,corpus,que,corpus
109,y,y,y,y
110,que,que,que,que
111,el,el,el,el
112,mui,muy,muy,muy
113,en,en,en,en
114,a,ha,a,ha
115,escrytura,escritura,escritura,escritura
116,su,su,su,su
117,poder,poder,poder,poder
118,en,y,en,y
119,se,se,se,se
120,y,y,y,y
121,las,las,las,las
122,su,su,su,su
123,vm,vm,vm,vm
124,todo,todo,todo,todo
125,y,y,y,y
126,q,que,que,que
127,en,en,en,en
128,salud,salud,salud,salud
129,deseo,quienes,deseo,quienes
130,mundo,mundo,mundo,mundo
131,no,no,no,no
132,y,y,y,y
133,palacios,palacios,palacios,palacios
134,como,abrazo,como,aarazo
135,en,en,en,en
136,lee,lee,अ,lee
137,se,se,se,se
138,d,de,de,de
139,anticipar,y,अ,y
140,vm,vm,vm,vm
141,ellos,ellos,ellos,ellos
142,toda,toda,toda,toda
143,por,señor,por,señor
144,bes,alguna,vez,alguna
145,dios,dios,dios,dios
146,fraga,fraga,अ,fraga
147,se,se,se,se
148,vm,a,vm,a
149,havian,habían,habían,haban
150,no,no,no,no
151,la,la,la,la
152,negocios,negocios,negocios,negocios
153,como,como,como,como
154,ni,ni,ni,ni
155,le,le,le,le
156,como,como,como,como
157,si,si,si,si
158,honrra,honra,honra,honra
159,nros,nuestros,nuestros,nuestros
160,que,que,que,que
161,en,en,en,en
162,el,el,el,el
163,hermano,hermano,hermano,hermano
164,suma,suma,suma,suma
165,una,una,una,una
166,conoçe,conoce,conoce,conoce
167,hermano,hermano,hermano,hermano
168,el,el,el,el
169,d,de,de,de
170,alma,alma,alma,alma
171,todos,todos,todos,todos
172,recaudacion,recaudación,अ,recaudacin
173,el,el,el,el
174,que,que,que,que
175,y,y,y,y
176,dia,el,día,el
177,todos,todos,todos,todos
178,sus,sus,sus,sus
179,y,y,y,y
180,estaban,estaban,estaban,estaban
181,guarde,guarde,guarde,guarde
182,no,no,no,no
183,an,han,han,han
184,mos,manos,manos,manos
185,dios,dios,dios,dios
186,meritos,méritos,méritos,meritos
187,como,como,como,como
188,veo,veo,veo,veo
189,que,que,que,que
190,comieses,comieses,अ,comieses
191,delicada,delicada,delicada,delicada
192,cuyde,cuide»,cuide,cuide
193,inpensado,impensado,अ,impensado
194,pa,para,para,para
195,aber,haber,haber,haber
196,el,el,el,el
197,q,que,que,que
198,hacer,hacer,hacer,hacer
199,de,de,de,de
200,dar,dar,dar,dar
201,dize,dice,dice,dice
202,las,las,las,las
203,v,vuestra,vuestra,vuestra
204,casa,de,casa,de
205,pasaporte,pasaporte,pasaporte,pasaporte
206,esta,ésta,esta,esta
207,todopoderoso,todopoderoso,todopoderoso,todopoderoso
208,los,vm,los,vm
209,lo,lo,lo,lo
210,ermanos,hermanos,hermanos,hermanos
211,a,a,a,a
212,a,a,a,a
213,daran,darán,darán,darn
214,y,y,y,y
215,cavo,cabo,cabo,cabo
216,martes,martes,martes,martes
217,espantarian,se,अ,se
218,que,luego,que,luego
219,congoxas,congojas,penas,congojas
220,y,y,y,y
221,si,si,si,si
222,de,de,de,de
223,hazieda,hacienda,अ,hacienda
224,y,y,y,y
225,le,le,le,le
226,a,ha,a,ha
227,hijo,hijo,hijo,hijo
228,se,que,se,que
229,pueblos,pueblos,pueblos,pueblos
230,no,no,no,no
231,pero,pero,pero,pero
232,tus,tus,tus,tus
233,que,que,que,que
234,y,y,y,y
235,prestimo,préstamo,अ,prestamo
236,de,de,de,de
237,nos,nos,nos,nos
238,lo,lo,lo,lo
239,y,y,y,y
240,en,en,en,en
241,acordes,acordes,acordes,acordes
242,le,le,le,le
243,lo,lo,lo,lo
244,estaras,dudo,estarás,dudo
245,por,por,por,por
246,la,la,la,la
247,ser,ser,ser,ser
248,nuestra,nuestra,nuestra,nuestra
249,golpe,golpe,golpe,golpe
250,don,a,don,a
251,bien,bien,bien,bien
252,bos,vos,vos,vos
253,estado,estado,estado,estado
254,una,una,una,una
255,xpobal,cristóbal,अ,cristbal
256,por,por,por,por
257,en,en,en,en
258,pienso,pienso,pienso,pienso
259,serviçio,servicio,servicio,servicio
260,colina,colina,अ,colina
261,y,y,y,y
262,esto,esto,esto,esto
263,ermana,hermana,hermana,hermana
264,dya,día,día,daa
265,envio,envío,envío,envo
266,a,a,a,a
267,horden,orden,orden,orden
268,de,las,de,las
269,sanctiago,santiago,santiago,santiago
270,vever,beber,beber,veber
271,es,es,es,es
272,maña,maña,hasta,maña
273,an,han,han,han
274,las,las,las,las
275,porque,personas,porque,personas
276,qe,que,que,que
277,quotro,cuatro,अ,cuatro
278,le,le,le,le
279,i,y,y,y
280,a,a,a,a
281,presente,presente,presente,presente
282,algunos,suponer,algunos,suponer
283,amigo,amigo,amigo,amigo
284,este,éste,este,este
285,brebedad,brevedad,brevedad,brevedad
286,quyen,quien,quien,quien
287,xunte,junte,अ,junte
288,se,se,se,se
289,no,no,no,no
290,estaren,estarem,अ,estarem
291,quieres,«¿quieres,quieres,aequieres
292,con,y,con,y
293,â,a,a,a
294,negara,negará,अ,negar
295,lastymada,lastimada,अ,lastimada
296,ando,yo,ando,yo
297,la,la,la,la
298,poder,poder,poder,poder
299,me,me,me,me
300,sentimiento,sentimiento,sentimiento,sentimiento
301,bocado,bocado,bocado,vocado
302,te,te,te,te
303,siguiendo,va,siguiendo,va
304,cartas,cartas,cartas,cartas
305,como,como,como,como
306,menor,menor,menor,menor
307,han,ahora,han,ahora
308,tan,tan,tan,tan
309,ama,ama,ama,ama
310,se,se,se,se
311,parte,parte,parte,parte
312,dias,días,días,daas
313,yo,yo,yo,yo
314,yr,ir,ir,ir
315,ay,hay,hay,hay
316,magco,magnífico,magnífico,magnfico
317,tanbien,y,también,y
318,tienen,tienen,tienen,tienen
319,cuidado,cuidado,cuidado,cuidado
320,estoy,estoy,estoy,estoy
321,el,el,el,el
322,altar,altar,altar,altar
323,orden,orden,orden,orden
324,es,es,es,es
325,basallos,vasallos,vasallos,vasallos
326,sea,estefanía,sea,estefana
327,estando,que,estando,que
328,primer,primer,primer,primer
329,faltan,faltan,faltan,faltan
330,y,y,y,y
331,como,como,como,como
332,son,que,son,que
333,de,de,de,de
334,el,él,el,el
335,perdido,he,perdido,he
336,tres,tres,tres,tres
337,quantto,cuanto,cuanto,cuanto
338,avisarme,avisarme,avisarme,avisarme
339,qe,que,que,que
340,mi,dueño,mi,dueño
341,por,por,por,por
342,e,he,he,he
343,u,remitirá,usted,remitir
344,con,con,con,con
345,esta,esta,esta,esta
346,angela,ángela,ángela,angela
347,se,sé,se,se
348,á,a,a,a
349,ya,ya,ya,ya
350,en,en,en,en
351,menos,las,menos,las
352,a,a,a,a
353,en,en,en,en
354,y,y,y,y
355,correspa,correspondencia,correspondencia,correspondencia
356,que,que,que,que
357,nro,nuestro,nuestro,nuestro
358,reales,reales,reales,reales
359,todos,todos,todos,todos
360,laso,lazo,अ,lazo
361,remitirle,remitirle,para,remitirle
362,mejor,alfombra,mejor,alfombra
363,tierraadios,tierraadiós,अ,tierraadis
364,ornero,ornero,ornero,ornero
365,y,y,y,y
366,fui,fui,fui,fuy
367,sus,sus,sus,sus
368,y,y,y,y
369,fue,fue,fue,fue
370,la,la,la,la
371,q,que,que,que
372,que,que,que,que
373,la,en,la,en
374,sus,sus,sus,sus
375,el,todo,el,todo
376,q,que,que,que
377,que,sacramentado,que,sacramentado
378,començandolas,comenzándolas,अ,comenzndolas
379,perez,pérez,pérez,perez
380,por,por,por,por
381,yo,yo,yo,yo
382,no,si,no,si
383,en,en,en,en
384,eminentes,eminentes,अ,eminentes
385,inquisicion,inquisición,inquisición,inquisicin
386,escrito,escrito,escrito,escrito
387,villançico,villancico,अ,villancico
388,mi,mi,mi,mi
389,esposo,esposo,esposo,esposo
390,a,a,a,a
391,duanero,aduanero,aduanero,aduanero
392,me,me,me,me
393,y,y,y,y
394,pliego,un,pliego,un
395,mayorazgo,mayorazgo,mayorazgo,mayorazgo
396,cama,cama,cama,cama
397,le,le,le,le
398,tambien,también,también,tambin
399,junto,rodríguez,junto,rodrguez
400,tan,de,tan,de
401,usted,a,usted,a
402,plata,plata,plata,plata
403,yo,yo,yo,yo
404,el,el,el,el
405,hno,hermano,hermano,hermano
406,oracion,oración,oración,oracin
407,por,por,por,por
408,13,13,13,10
409,esto,esto,esto,esto
410,le,le,le,le
411,a,ha,a,ha
412,yo,que,yo,que
413,mas,mas,más,mas
414,a,a,a,a
415,de,de,de,de
416,en,en,en,en
417,berjas,verjas,verjas,verjas
418,los,los,los,los
419,a,a,a,a
420,vm,vm,vm,vm
421,es,es,es,es
422,visitare,visitaré,अ,visitar
423,llego,llegó,llegó,lleg
424,dios,dios,dios,dios
425,vien,bien,bien,bien
426,aprension,aprensión,aprensión,aprensin
427,de,de,de,de
428,de,supuesto,de,supuesto
429,leonor,leonor,leonor,leonor
430,manresa,manresa,अ,manresa
431,1,1,1,1
432,haremos,haremos,haremos,haremos
433,veo,veo,veo,veo
434,bello,verlo,«bello,verlo
435,no,no,no,no
436,carta,carta,carta,carta
437,por,por,por,por
438,q,que,que,que
439,castigue,castigue,castigue,castigue
440,q,¡qué,que,aque
441,noticia,noticia,noticia,noticia
442,poder,poder,poder,poder
443,pedir,pedir,pedir,pedir
444,y,y,y,y
445,angela,ángela,ángela,angela
446,aqui,dineropor,aquí,dineropor
447,a,a,a,a
448,a,a,a,a
449,entendere,entenderé,अ,entender
450,probecho,provecho,provecho,provecho
451,lo,lo,lo,lo
452,de,de,de,de
453,puede,puede,puede,puede
454,que,que,que,que
455,con,con,con,con
456,la,la,la,la
457,es,es,es,es
458,para,como,para,como
459,escribo,escribo,escribo,escribo
460,poco,poco,poco,poco
461,admirable,admirable,admirable,admirable
462,contrario,contrario,contrario,contrario
463,ordene,ésa,ordene,esa
464,mi,mí,mi,me
465,la,en,la,en
466,de,de,de,de
467,mandarme,mandarme,mandarme,mandarme
468,sera,será,será,será
469,mui,muy,muy,muy
470,açerle,hacerle,अ,hacerle
471,donde,donde,donde,donde
472,rrespeto,respecto,respecto,respecto
473,como,dando,como,dando
474,somos,somos,somos,somos
475,no,no,no,no
476,en,en,en,en
477,missa,misa,misa,misa
478,el,el,el,el
479,ud,usted,usted,usted
480,deseo,deseo,deseo,deseo
481,escrivo,escribo,escribo,escribo
482,de,de,de,de
483,para,para,para,para
484,ajençie,agencie,अ,agencie
485,ba,va,va,va
486,da,da,da,da
487,manuel,manuel,manuel,manuel
488,que,que,que,que
489,qe,que,que,que
490,q,que,que,que
491,suyos,suyos,suyos,suyos
492,me,me,me,me
493,por,por,por,por
494,maior,mayor,mayor,mayor
495,yo,yo,yo,yo
496,ni,ni,ni,ni
497,todo,todo,todo,todo
498,se,mí,se,me
499,alcalde,alcalde,alcalde,alcalde
500,a,a,a,a
501,vm,vm,vm,vm
502,que,es,que,es
503,de,de,de,de
504,si,si,si,si
505,señor,señor,señor,señor
506,el,el,el,el
507,por,por,por,por
508,otro,otro,otro,otro
509,a,a,a,a
510,pa,ésa,para,esa
511,mas,más,más,mas
512,pa,para,para,para
513,vida,vida,vida,vida
514,no,no,no,no
515,tantos,tantos,tantos,tantos
516,vm,de,vm,de
517,donia,doña,अ,doña
518,digo,pero,digo,pero
519,a,ha,a,ha
520,abia,había,había,haba
521,y,y,y,y
522,y,y,y,y
523,si,si,si,si
524,a,a,a,a
525,mui,muy,muy,muy
526,quisiera,quisiera,quisiera,quisiera
527,qe,que,que,que
528,pan,pan,pan,pan
529,trabajos,trabajos,trabajos,trabajos
530,vs,vsa,vsa,vsa
531,quales,dirás,cuales,dirs
532,que,que,que,que
533,las,las,las,las
534,tu,sabes,tu,sabes
535,buenos,buenos,buenos,buenos
536,los,los,los,los
537,encayado,encallado,अ,encallado
538,q,que,que,que
539,cobre,cobre,cobre,cobre
540,que,que,que,que
541,en,en,en,en
542,le,le,le,le
543,los,los,los,los
544,rreçebido,recibido,recibido,recibido
545,a,a,a,a
546,quiero,quiero,quiero,quiero
547,pude,pude,pude,pude
548,mas,más,más,mas
549,de,fe,de,fe
550,padre,padre,padre,padre
551,os,os,os,os
552,sta,rosa,santa,rosa
553,servian,servían,अ,servan
554,la,la,la,la
555,no,no,no,no
556,metera,meterá,meterá,meter
557,esa,esa,esa,esa
558,que,costo,que,costo
559,que,que,que,que
560,monjas,de,monjas,de
561,años,años,años,años
562,aver,de,haber,de
563,y,y,y,y
564,teologias,teologías,अ,teologas
565,yrun,irún,अ,irn
566,me,me,me,me
567,parezer,parecer,parecer,parecer
568,de,de,de,de
569,entonçes,entonces,entonces,entonces
570,de,de,de,de
571,gant,gant,अ,gant
572,ynvia,envía,अ,enva
573,buscar,conque,buscar,conque
574,me,me,me,me
575,pes,partes,padres,partes
576,la,la,la,la
577,dixo,dijo,dijo,dijo
578,a,a,a,a
579,la,la,la,la
580,lo,hizo,lo,hizo
581,nonbrar,nombrar,nombrar,nomvrar
582,q,que,que,que
583,y,y,y,y
584,de,de,de,de
585,en,en,en,en
586,ofrecio,ofreció,ofreció,ofreci
587,como,como,como,como
588,echo,hecho,hecho,hecho
589,en,en,en,en
590,pa,para,para,para
591,no,el,no,el
592,amigos,amigos,amigos,amigos
593,todo,todo,todo,todo
594,ermano,hermano,hermano,hermano
595,todo,todo,todo,todo
596,empleo,empleo,empleo,empleo
597,si,si,si,si
598,aquy,aquí,aquí,aqu
599,ottra,pretender,अ,pretender
600,la,la,la,la
601,que,que,que,que
602,que,que,que,que
603,en,1732,en,1600
604,i,desván,y,desbn
605,dios,dios,dios,dios
606,casa,en,casa,en
607,al,al,al,al
608,que,que,que,que
609,remediar,remediar,remediar,remediar
610,bolbera,volverá,volverá,volver
611,si,si,si,si
612,bien,bien,bien,bien
613,no,no,no,no
614,v,vuestra,vuestra,vuestra
615,aqui,de,aquí,de
616,tengo,no,tengo,no
617,lo,lo,lo,lo
618,de,de,de,de
619,con,con,con,con
620,y,y,y,y
621,conociendo,conociendo,conociendo,conociendo
622,el,el,el,el
623,gnal,general,अ,general
624,tiene,tiene,tiene,tiene
625,me,me,me,me
626,a,a,a,a
627,vm,vm,vm,vm
628,rruego,ruego,te,ruego
629,yerros,yerros,yerros,yerros
630,va,villa,va,villa
631,no,no,no,no
632,su,su,su,su
633,cinco,cinco,cinco,cinco
634,lo,lo,lo,lo
635,se,se,se,se
636,conzedido,concedido,concedido,concedido
637,su,su,su,su
638,brebedad,brevedad,brevedad,brevedad
639,en,en,en,en
640,en,en,en,en
641,da,doña,da,doña
642,da,doña,da,doña
643,porque,es,porque,es
644,dime,dime,dime,dime
645,sabe,sabe,sabe,sabe
646,hijo,hijo,hijo,hijo
647,esos,esos,esos,esos
648,illma,ilustrísima,ilustrísima,ilustrsima
649,tengas,tengas,tengas,tengas
650,maestrode,maestrode,अ,maestrode
651,acabo,acabo,acabo,acabo
652,olvide,olvide,olvide,olvide
653,sr,señor,señor,señor
654,alas,alas,alas,alas
655,de,de,de,de
656,el,el,el,el
657,me,me,me,me
658,yndias,indias,indias,indias
659,imposibilitado,quedo,अ,quedo
660,de,de,de,de
661,como,como,como,como
662,la,la,la,la
663,de,de,de,de
664,90,de,90,de
665,porque,porque,porque,porque
666,junto,junto,junto,junto
667,años,años,años,años
668,su,su,su,su
669,se,se,se,se
670,a,a,a,a
671,a,toledo,a,toledo
672,presiso,preciso,y,preciso
673,siento,siento,siento,siento
674,de,de,de,de
675,rebibido,revivido,अ,revivido
676,sino,sino,sino,sino
677,pagara,pagará,pagará,pagar
678,pecho,pecho,pecho,pecho
679,en,en,en,en
680,no,que,no,que
681,lo,lo,lo,lo
682,no,no,no,no
683,dize,dice,dice,dice
684,interessado,circunstanciasel,अ,circunstanciasel
685,igualarse,igualarse,अ,igualarse
686,suia,ésa,suya,esa
687,me,me,me,me
688,françes,francés,francés,francsss
689,berdad,verdad,verdad,verdad
690,adquisicion,de,अ,de
691,reintegrarle,reintegrarle,अ,reintegrarle
692,medio,medio,medio,medio
693,aca,acá,acá,ac
694,lo,lo,lo,lo
695,q,que,que,que
696,harta,harta,harta,harta
697,santa,santa,santa,santa
698,a,a,a,a
699,y,y,y,y
700,lo,lo,lo,lo
701,marido,marido,marido,marido
702,aa,añosa,antonia,añosa
703,de,de,de,de
704,con,con,con,con
705,los,los,los,los
706,asi,así,así,as
707,mi,mi,mi,mi
708,esta,ésta,esta,esta
709,que,que,que,que
710,no,no,no,no
711,otro,otro,otro,otro
712,marzo,marzo,marzo,marzo
713,tener,tener,tener,tener
714,de,flete,de,flete
715,v,vuestra,vuestra,vuestra
716,de,de,de,de
717,q,que,que,que
718,v,vuestra,vuestra,vuestra
719,sygurydades,seguridades,अ,seguridades
720,en,en,en,en
721,estoy,estoy,estoy,estoy
722,le,le,le,le
723,fin,fin,fin,fin
724,licdo,licenciado,licenciado,licenciado
725,firmar,firmar,firmar,firmar
726,sircha,cerca,अ,cerca
727,hixa,hija,dices,hija
728,u,usted,usted,usted
729,a,a,a,a
730,con,con,con,con
731,yo,yo,yo,yo
732,poco,poco,poco,poco
733,pasando,voy,pasando,voy
734,no,no,no,no
735,dho,dicho,dicho,dicho
736,a,ha,a,ha
737,tenido,tenido,tenido,tenido
738,qe,que,que,que
739,le,viene,le,viene
740,trajo,trajo,trajo,trajo
741,mis,mis,mis,mis
742,madridexos,madridejos,madridejos,madridejos
743,sea,sea,sea,sea
744,seys,seis,seis,seis
745,mi,mi,mi,mi
746,a,a,a,a
747,ssno,escribano,el,escribano
748,justificada,justificada,justificada,justificada
749,sor,señor,señor,señor
750,el,el,el,el
751,me,me,me,me
752,acabarse,acabarse,acabarse,acabarse
753,se,se,se,se
754,an,han,han,han
755,han,han,han,han
756,e,y,he,y
757,de,de,de,de
758,isabel,isabel,isabel,isabel
759,nonbrado,nombrado,he,nomvrado
760,las,de,las,de
761,pleito,pleito,pleito,pleito
762,qe,que,que,que
763,de,de,de,de
764,que,que,que,que
765,gran,gran,gran,gran
766,quatrocientos,cuatrocientos,cuatrocientos,cuatrocientos
767,de,dude,de,dude
768,hazienda,hacienda,hacienda,hacienda
769,mas,más,más,mas
770,mirelo,mírelo,mírelo,merelo
771,de,de,de,de
772,el,el,el,el
773,rrescebire,recibiré,recibiré,recibir
774,un,un,un,un
775,la,la,la,la
776,saver,saber,saber,saber
777,escrivirme,de,puede,de
778,de,de,de,de
779,servido,servido,servido,servido
780,apadrine,apadrine,अ,apadrine
781,si,para,si,para
782,señor,señor,señor,señor
783,soto,soto,soto,soto
784,y,y,y,y
785,mismo,el,mismo,el
786,acometidas,sido,अ,sido
787,y,y,y,y
788,serbido,servido,servido,servido
789,mejor,mejor,mejor,mejor
790,el,el,el,el
791,que,que,que,que
792,es,es,es,es
793,padres,padres,padres,padres
794,mi,mí,mi,me
795,q,que,que,que
796,como,como,como,como
797,a,a,a,a
798,de,estés,de,ests
799,docena,media,docena,medía
800,como,como,como,como
801,atienden,atienden,अ,atienden
802,una,una,una,una
803,porq,porque,porque,porque
804,los,los,los,los
805,negozios,algunos,negocios,algunos
806,mui,vms,muy,vms
807,vramd,vm,vm,vm
808,ese,ese,ese,ese
809,quartillos,cuartillos,अ,cuartillos
810,le,le,le,le
811,d,de,de,de
812,es,es,es,es
813,juzgo,juzgo,juzgo,juzgo
814,otra,otra,otra,otra
815,de,de,de,de
816,echo,hecho,hecho,hecho
817,a,a,a,a
818,pagado,pagado,pagado,pagado
819,no,no,no,no
820,los,los,los,los
821,que,que,que,que
822,prevenidoles,prevenídoles,अ,prevendoles
823,noche,noche,noche,noche
824,que,que,que,que
825,a,a,a,a
826,los,los,los,los
827,que,usted,que,usted
828,mas,más,más,mas
829,y,y,y,y
830,escribo,escribo,escribo,escribo
831,haberle,haberle,haberle,haberle
832,como,como,como,como
833,a,vm,a,vm
834,y,parte,y,parte
835,observando,y,observando,y
836,me,me,me,me
837,lo,lo,lo,lo
838,es,es,es,es
839,treinta,treinta,treinta,treinta
840,los,los,los,los
841,a,a,a,a
842,y,y,y,y
843,ha,ha,ha,ha
844,casa,casa,casa,casa
845,si,si,si,si
846,llebe,lleve,lleve,lleve
847,la,la,la,la
848,ber,ver,ver,ver
849,q,que,que,que
850,se,se,se,se
851,mal,mal,mal,mal
852,motible,qué,अ,que
853,miserables,miserables,miserables,miserables
854,que,que,que,que
855,pariente,pariente,pariente,pariente
856,antonio,antonio,antonio,antonio
857,de,de,de,de
858,yo,que,yo,que
859,pagare,pagaré,pagaré,pagar
860,que,que,que,que
861,qe,que,que,que
862,me,me,me,me
863,en,en,en,en
864,tenydo,tenido,tenido,tenido
865,quieren,quieren,quieren,quieren
866,la,la,la,la
867,caida,caída,caída,cada
868,la,la,la,la
869,me,me,me,me
870,esposo,esposo,esposo,esposo
871,ciudad,ciudad,ciudad,ciudad
872,no,no,no,no
873,confesor,confesor,confesor,confesor
874,vida,vida,vida,vida
875,pagareis,pagaréis,अ,pagaris
876,muy,muy,muy,muy
877,y,y,y,y
878,lo,lo,lo,lo
879,en,en,en,en
880,tercera,tercera,tercera,tercera
881,juan,juan,juan,juan
882,vmd,vm,vm,vm
883,las,con,las,con
884,ansi,así,así,as
885,conoce,conoce,conoce,conoce
886,persona,persona,persona,persona
887,en,en,en,en
888,esta,está,esta,est
889,q,que,que,que
890,me,me,me,me
891,antes,antes,antes,antes
892,en,en,en,en
893,descuidar,descuidar,descuidar,descuidar
894,sega,segovia,servidora,segovia
895,no,no,no,no
896,rs,reales,reales,reales
897,manda,manda,manda,manda
898,creere,creeré,creeré,creer
899,vera,verá,verá,ver
900,quedado,quedado,quedado,quedado
901,se,se,se,se
902,en,en,en,en
903,hazyenda,hacienda,hacienda,hacienda
904,del,del,del,del
905,el,favor,el,favor
906,avisado,avisado,avisado,avisado
907,dejado,dejado,dejado,dejado
908,se,yo,se,yo
909,caiga,caiga,caiga,caiga
910,a,a,a,a
911,acargo,acargó,अ,acarg
912,que,que,que,que
913,que,cartas,que,cartas
914,de,de,de,de
915,yo,yo,yo,yo
916,la,la,la,la
917,quereis,queréis,queréis,queris
918,que,que,que,que
919,magd,majestad,majestad,majestad
920,y,y,y,y
921,palabra,palabra,palabra,palabra
922,cryados,criados,criados,criados
923,nro,nuestro,nuestro,nuestro
924,lo,lo,lo,lo
925,y,y,y,y
926,me,elecciones,me,elecciones
927,mas,más,más,mas
928,y,y,y,y
929,aunque,aunque,aunque,aunque
930,tienpo,tiempo,tiempo,tiempo
931,para,para,para,para
932,manda,manda,manda,manda
933,otras,y,otras,y
934,tanbien,también,también,tambin
935,y,y,y,y
936,d,de,de,de
937,escrito,escrito,escrito,escrito
938,ducados,ducados,ducados,ducados
939,por,por,por,por
940,puede,puede,puede,puede
941,sus,sus,sus,sus
942,pies,pies,pies,pies
943,por,por,por,por
944,cuida,cuida,y,cuida
945,deseo,deseo,deseo,deseo
946,oy,hoy,hoy,hoy
947,presidente,presidente,presidente,presidente
948,lo,lo,lo,lo
949,la,la,la,la
950,se,se,se,se
951,gonzalez,gonzález,gonzález,gonzlez
952,tengo,tengo,tengo,tengo
953,aunque,aunque,aunque,aunque
954,años,años,años,años
955,que,que,que,que
956,no,no,no,no
957,atreben,atreven,atreven,atreven
958,la,la,la,la
959,v,vuestra,vuestra,vuestra
960,ser,ser,ser,ser
961,en,en,en,en
962,a,a,a,a
963,q,que,que,que
964,de,de,de,de
965,hazemos,hacemos,hacemos,hacemos
966,allara,hallara,hallará,hallara
967,quatro,cuatro,cuatro,cuatro
968,dinero,dinero,dinero,dinero
969,la,la,la,la
970,s,san,su,san
971,den,den,den,den
972,que,que,que,que
973,fue,fue,fue,fue
974,dias,días,días,daas
975,he,he,he,he
976,bernos,vernos,vernos,vernos
977,escribir,escribir,escribir,escribir
978,enbiaras,enviarás,enviarás,enviars
979,traer,traer,traer,traer
980,motibo,el,motivo,el
981,ny,ni,ni,ni
982,la,la,la,la
983,parttes,partes,अ,partes
984,md,merced,merced,merced
985,me,me,me,me
986,condescendencia,condescendencia,अ,condescendencia
987,los,los,los,los
988,menos,menos,menos,menos
989,no,no,no,no
990,q,que,que,que
991,la,la,la,la
992,vmd,vm,vm,vm
993,esta,esta,esta,esta
994,mantenga,lo,se,lo
995,de,medio,de,medio
996,mayor,mayor,mayor,mayor
997,pa,para,para,para
998,pero,pero,pero,pero
999,lo,lo,lo,lo
1000,alimentos,los,alimentos,los
1001,satisfacion,satisfacción,satisfacción,satisfaccin
1002,ochoçientos,ochocientos,अ,ochocientos
1003,su,su,su,su
1004,perdonarle,perdonarle,अ,perdonarle
1005,advirtiendo,advirtiendo,advirtiendo,advirtiendo
1006,julian,julián,julián,julin
1007,bio,vio,vio,vio
